technology,year,residual_capacity,model_capacity_unit,retirement_method,base_capacity_formula,source_ids,calculation_id,notes
TEC_fsh_cap_dsl,2020,0.047868951428571435,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2021,0.044677688000000007,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2022,0.041486424571428579,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2023,0.038295161142857151,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2024,0.035103897714285723,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2025,0.031912634285714295,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2026,0.02872137085714286,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2027,0.025530107428571432,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2028,0.022338844000000004,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2029,0.019147580571428575,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2030,0.015956317142857147,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2031,0.012765053714285719,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2032,0.0095737902857142843,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2033,0.0063825268571428562,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2034,0.0031912634285714281,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2035,0,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2036,0,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2037,0,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2038,0,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2039,0,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2040,0,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2041,0,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_cap_dsl,2042,0,PJ service/year,uniform_age,0.033508266000000002/(1*0.69999999999999996),SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
